id,time,place,magnitude,longitude,latitude
ci40735615,1726530863530,"10 km NE of Borrego Springs, CA",0.99,-116.286,33.3073333
nn00884767,1726530812264,"48 km E of Fort Bidwell, California",1.4,-119.5727,41.933
us7000necp,1726530571845,"40 km NW of Toyah, Texas",2.9,-104.1092,31.5563
nc75062841,1726530241510,"6 km WNW of Cobb, CA",1.71,-122.796669006348,38.8303337097168
ci40735607,1726530120600,"7 km SE of Valle Vista, CA",1.46,-116.8378333,33.7053333
ci40735599,1726530120530,"7 km SE of Valle Vista, CA",0.84,-116.8323333,33.7073333
us7000necn,1726530118093,"50 km N of Camiña, Chile",4.5,-69.4969,-18.8622
hv74465932,1726529730210,"8 km S of Volcano, Hawaii",1.93,-155.2431640625,19.3668327331543
hv74465912,1726529365400,"10 km S of Fern Forest, Hawaii",1.26,-155.1535,19.3733333333333
ci40735575,1726529263730,"5 km ESE of Lake Henshaw, CA",0.76,-116.714,33.231
hv74465902,1726529061260,"10 km SSE of Volcano, Hawaii",1.76999998,-155.189498901367,19.3628330230713
ci40735567,1726528901580,"10 km SSE of Idyllwild, CA",0.95,-116.6745,33.6608333
hv74465877,1726528585620,"10 km SSW of Fern Forest, Hawaii",1.86,-155.163162231445,19.3766670227051
hv74465867,1726528381230,"10 km SE of Volcano, Hawaii",1.7,-155.1705,19.3746666666667
ak024bydgzzl,1726528118259,"37 km SSE of Denali National Park, Alaska",1.8,-151.3284,63.2546
nc75062836,1726528107500,"2 km NNW of The Geysers, CA",1.34,-122.776000976562,38.7931671142578
hv74465842,1726527760160,"9 km SE of Volcano, Hawaii",1.94,-155.178833007812,19.3803329467773
ci40735559,1726527724820,"16 km NNE of Barstow, CA",2.61,-116.9833333,35.038
nc75062816,1726527657360,"2 km NW of The Geysers, CA",2.25,-122.775665283203,38.7918319702148
hv74465832,1726527612320,"9 km SE of Volcano, Hawaii",1.76999998,-155.182006835938,19.3700008392334
ak024byd63so,1726527475448,"52 km SW of Tatitlek, Alaska",1.6,-147.4238,60.5665
us7000necd,1726527431426,"29 km WNW of Ollagüe, Chile",4.3,-68.5342,-21.1685
ak024byd4shl,1726527102330,"51 km SSE of Denali National Park, Alaska",1.4,-151.4856,63.0885
nc75062811,1726527055700,"9 km SSW of San Ardo, CA",2.06,-120.943496704102,35.9448318481445
ak024byd3xg6,1726526860066,"94 km N of Karluk, Alaska",2.0,-154.5236,58.418
hv74465802,1726526808380,"10 km SE of Volcano, Hawaii",1.84000003,-155.166168212891,19.3729991912842
ak024byd2u64,1726526551007,"17 km N of Fishhook, Alaska",1.1,-149.2467,61.8983
nc75062796,1726525669640,"7 km WNW of Cobb, CA",0.77,-122.805168151855,38.8313331604004
ak024bycyq01,1726525390731,"23 km SSE of Skwentna, Alaska",1.5,-151.2317,61.7986
ci40735519,1726525119540,"12 km NE of Ocotillo Wells, CA",1.79,-116.05,33.222
hv74465732,1726524992700,"8 km SSW of Fern Forest, Hawaii",2.31,-155.156661987305,19.3871669769287
ci40735511,1726524905710,"26 km ENE of Pine Valley, CA",0.98,-116.284,32.9218333
ak024bycvr6f,1726524566317,"20 km W of Willow, Alaska",1.2,-150.4218,61.7781
hv74465697,1726524119190,"9 km SE of Volcano, Hawaii",1.75,-155.174331665039,19.3818340301514
nn00884758,1726522973664,"23 km NNW of Sutcliffe, Nevada",0.6,-119.7482,40.124
hv74465637,1726522625740,"10 km SE of Volcano, Hawaii",2.62,-155.171666666667,19.3683333333333
hv74465632,1726522593530,"5 km SW of Volcano, Hawaii",1.45,-155.275166666667,19.4086666666667
hv74465627,1726522514200,"9 km SE of Volcano, Hawaii",1.84000003,-155.177337646484,19.3816661834717
nc75062781,1726522211550,"7 km NNW of The Geysers, CA",0.83,-122.811836242676,38.8263320922852
ak024bycdjzd,1726521874978,"4 km NNW of Point MacKenzie, Alaska",1.4,-150.0208,61.3913
us7000nebs,1726521055767,"291 km ESE of Chiniak, Alaska",3.1,-147.9333,56.5008
ak024bycabsb,1726520969076,"33 km S of Denali National Park, Alaska",1.7,-151.7522,63.2434
uw62038597,1726520941260,"5 km E of Enumclaw, Washington",1.92,-121.92533333333333,47.199666666666666
ak024byc8o5e,1726520516180,"75 km ESE of Denali Park, Alaska",1.4,-147.4357,63.5575
hv74465542,1726520275510,"9 km SE of Volcano, Hawaii",1.90999997,-155.172332763672,19.3843326568604
hv74465537,1726520148600,"8 km S of Volcano, Hawaii",1.79,-155.2431640625,19.371000289917
hv74465527,1726519946160,"8 km SE of Volcano, Hawaii",1.97000003,-155.187835693359,19.3850002288818
tx2024sgui,1726519291322,"37 km NNW of Toyah, Texas",1.6,-103.976,31.611
hv74465447,1726518300160,"9 km S of Fern Forest, Hawaii",1.80999994,-155.152160644531,19.3834991455078
hv74465437,1726517995230,"10 km SSE of Volcano, Hawaii",1.97000003,-155.200668334961,19.3571662902832
ak024bybr0q7,1726517961118,"32 km WNW of Petersville, Alaska",1.8,-151.328,62.6344
hv74465427,1726517834060,"11 km SE of Volcano, Hawaii",2.4,-155.162506103516,19.3623332977295
hv74465422,1726517833430,"9 km SE of Volcano, Hawaii",2.42,-155.167831420898,19.3846664428711
ak024bybpp3y,1726517583984,"51 km SW of Tatitlek, Alaska",1.5,-147.2719,60.4999
ak024bybovt0,1726517364208,"31 km SSW of Petersville, Alaska",1.6,-150.8895,62.2164
hv74465402,1726517178350,"14 km S of Fern Forest, Hawaii",1.80999994,-155.141159057617,19.3369998931885
tx2024sgtf,1726517175965,"39 km WSW of Mentone, Texas",2.0,-104.004,31.622
ci40735375,1726515859230,"7 km SSE of Home Gardens, CA",1.42,-117.4861667,33.8228333
ak024bybax9a,1726515850537,"196 km WSW of Adak, Alaska",2.4,-179.3274,51.3307
uw62038572,1726515800910,"13 km SE of Mansfield, Washington",0.56,-119.50666666666666,47.72983333333333
us7000nebn,1726515654531,"211 km SE of Atka, Alaska",3.3,-171.839,50.9956
ci40735359,1726515294650,"7 km ESE of Chula Vista, CA",1.34,-116.9786667,32.6108333
ak024byb8dm3,1726515143475,"32 km W of Petersville, Alaska",1.3,-151.3865,62.5388
hv74465322,1726514850080,"11 km ENE of Pāhala, Hawaii",2.03999996,-155.388671875,19.2558326721191
hv74465282,1726513888250,"11 km SE of Volcano, Hawaii",1.73000002,-155.162826538086,19.3673324584961
ci40735311,1726513338100,"5 km N of Big Bear City, CA",1.36,-116.8418333,34.3036667
hv74465262,1726513274200,"10 km SSW of Fern Forest, Hawaii",1.61,-155.162,19.3766666666667
hv74465257,1726513238140,"9 km SE of Volcano, Hawaii",1.99,-155.179000854492,19.3708324432373
nc75062746,1726513188200,"2 km NE of The Geysers, CA",0.45,-122.74683380127,38.7928352355957
ci40735303,1726513117760,"5 km N of Big Bear City, CA",1.96,-116.8418333,34.3023333
us7000nebk,1726512748128,"30 km ESE of Atka, Alaska",3.9,-173.8129,52.0699
tx2024sgqp,1726512435385,"13 km SW of Lakehills, Texas",2.1,-99.04,29.515
us7000neat,1726512168239,south of the Fiji Islands,4.6,-179.9378,-23.492
hv74465227,1726512062980,"9 km SE of Volcano, Hawaii",2.09,-155.17399597168,19.3843326568604
ci40735295,1726511722820,"4 km NNE of Malibu, CA",1.74,-118.7996667,34.0435
nc75062736,1726511688800,"6 km ESE of Santa Venetia, CA",1.4,-122.454166666667,37.9871666666667
hv74465207,1726511295870,"9 km SE of Volcano, Hawaii",2.27,-155.170669555664,19.3813323974609
hv74465202,1726511202190,"10 km SSE of Volcano, Hawaii",2.02,-155.186172485352,19.3640003204346
us7000neam,1726510381895,"175 km WNW of Adak, Alaska",4.6,-179.0186,52.4623
us7000nean,1726510319547,"63 km SW of Merizo Village, Guam",5.0,144.1852,12.9471
ci40735255,1726510049130,"9 km NE of Borrego Springs, CA",1.5,-116.3151667,33.3145
hv74465157,1726509880720,"8 km SSE of Volcano, Hawaii",2.14,-155.193664550781,19.371166229248
hv74465147,1726509839630,"8 km SSE of Volcano, Hawaii",1.97,-155.211837768555,19.3645000457764
ci40735239,1726509158290,"10 km ENE of Yucaipa, CA",1.33,-116.9523333,34.0805
ci40735231,1726509078610,"9 km NNE of Julian, CA",0.93,-116.5591667,33.1476667
hv74465117,1726508567400,"5 km S of Volcano, Hawaii",1.82000005,-155.240173339844,19.394832611084
hv74465112,1726508565700,"6 km S of Volcano, Hawaii",2.01999998,-155.223999023438,19.3875007629395
hv74465087,1726508138180,"10 km SSE of Volcano, Hawaii",2.00999999,-155.185668945312,19.3628330230713
ci40735199,1726507715120,"7 km SSE of Good Hope, CA",1.62,-117.2401657,33.7044983
uw62038537,1726507225100,"5 km SSE of Princeton, Canada",1.87,-120.493,49.411833333333334
hv74465062,1726507113730,"8 km SSW of Fern Forest, Hawaii",2.01,-155.165161132812,19.3893337249756
hv74465052,1726506855830,"11 km S of Fern Forest, Hawaii",1.72,-155.155833333333,19.3615
hv74465042,1726506845170,"9 km SE of Volcano, Hawaii",1.99,-155.166168212891,19.380500793457
ci40735167,1726506841710,"12 km NNW of Piru, CA",1.65,-118.8225,34.521
ak024by9vxm1,1726506381216,"68 km ENE of Pedro Bay, Alaska",1.8,-153.0819,60.1197
tx2024sgnb,1726506183415,"38 km NNW of Toyah, Texas",1.6,-103.998,31.614
ak024by9v2p4,1726506140561,"54 km SW of Hughes, Alaska",1.7,-155.1466,65.7272
us7000nea5,1726505589166,"183 km W of Abepura, Indonesia",4.9,138.9875,-2.4473
hv74465002,1726505472750,"9 km SSE of Volcano, Hawaii",2.36,-155.197,19.3613333333333
hv74464962,1726505042270,"0 km WNW of Pāhala, Hawaii",1.66,-155.482833333333,19.2046666666667
hv74464922,1726504174740,"7 km SW of Volcano, Hawaii",1.91999996,-155.286163330078,19.3986663818359
hv74464912,1726503863480,"10 km SSE of Volcano, Hawaii",1.38,-155.190166666667,19.362
ak024by9dk13,1726503647118,"11 km SSE of Denali Park, Alaska",0.8,-148.8309,63.6332
tx2024sglh,1726503022375,"8 km NW of Stanton, Texas",1.5,-101.856,32.176
hv74464897,1726502873350,"10 km SE of Volcano, Hawaii",2.0,-155.1645,19.3741666666667
hv74464892,1726502828890,"9 km SE of Volcano, Hawaii",1.64,-155.181166666667,19.3695
nc75062721,1726502803970,"9 km WNW of Cobb, CA",0.58,-122.825668334961,38.8385009765625
hv74464882,1726502674990,"10 km E of Pāhala, Hawaii",1.89999998,-155.378829956055,19.2049999237061
us7000ne9g,1726502480602,"23 km ENE of Atka, Alaska",4.5,-173.8693,52.2566
uw62038517,1726502435010,"23 km ENE of Ashford, Washington",0.84,-121.75733333333334,46.8515
ak024by8ychj,1726501790957,"4 km S of Salcha, Alaska",0.8,-146.9085,64.4811
hv74464817,1726501149970,"9 km SE of Volcano, Hawaii",1.77,-155.179000854492,19.3723335266113
nc75062706,1726501133210,"0 km NNE of The Geysers, CA",0.72,-122.756164550781,38.7803344726562
hv74464777,1726500323670,"10 km SE of Volcano, Hawaii",1.66,-155.1745,19.3721666666667
hv74464772,1726500312650,"7 km SSE of Volcano, Hawaii",1.85,-155.203170776367,19.3850002288818
ak024by8rtoj,1726499947877,"6 km NNW of Big Lake, Alaska",1.7,-150.0062,61.5747
uw62038492,1726499679590,"12 km WNW of Ault Field, Washington",1.42,-122.83366666666667,48.377
hv74464732,1726499150110,"8 km SSE of Volcano, Hawaii",1.79,-155.216339111328,19.3719997406006
nc75062696,1726499102280,"2 km  of The Geysers, CA",1.12,-122.765663146973,38.7970008850098
nc75062691,1726498747850,"8 km NNW of The Geysers, CA",1.1,-122.814666748047,38.8320007324219
nc75062686,1726498583920,"3 km ENE of The Geysers, CA",0.97,-122.725997924805,38.7883338928223
ci40734959,1726497801530,"22 km SSW of La Quinta, CA",1.39,-116.4213333,33.4848333
us7000ne92,1726497621712,"6 km N of Cașoca, Romania",5.2,26.2689,45.5447
nc75062671,1726497491710,"7 km NNE of Calistoga, CA",1.32,-122.571830749512,38.6380004882812
nc75062666,1726497135990,"10 km WNW of Cobb, CA",2.0,-122.836502075195,38.845832824707
nc75062661,1726497120200,"10 km WNW of Cobb, CA",0.49,-122.835334777832,38.8451652526855
hv74464662,1726497027440,"9 km S of Fern Forest, Hawaii",1.5,-155.149333333333,19.3776666666667
us7000ne90,1726496740341,"34 km E of Nichinan, Japan",4.7,131.7308,31.6008
nn00884744,1726496735609,"55 km WNW of Beatty, Nevada",1.2,-117.3186,37.1371
hv74464652,1726496667280,"8 km SE of Volcano, Hawaii",1.81,-155.178329467773,19.3858337402344
mb90061568,1726496147070,"18 km NNE of Twin Bridges, Montana",0.64,-112.245833333333,45.7018333333333
us7000ne8y,1726496027151,"40 km E of Nichinan, Japan",5.5,131.7956,31.6412
ci40734935,1726495523320,"7 km N of Malibu, CA",2.77,-118.8003333,34.0658333
nc75062641,1726495087670,"3 km ENE of The Geysers, CA",2.02,-122.728500366211,38.7888336181641
tx2024sggz,1726494862292,"16 km NW of Toyah, Texas",1.7,-103.903,31.429
hv74464587,1726494749480,"9 km SSW of Fern Forest, Hawaii",2.05,-155.162506103516,19.3831672668457
nn00884741,1726494661388,"44 km ENE of Independence, California",1.5,-117.7288,36.9298
ci40734911,1726494502900,"7 km E of Cabazon, CA",0.89,-116.712,33.9166667
ak024by7qsdn,1726494388275,"27 km SE of Susitna North, Alaska",1.3,-149.4282,62.0104
uu80082651,1726493924830,"22 km NE of West Yellowstone, Montana",1.01,-110.912333333333,44.8101666666667
nc75062636,1726493752970,"13 km S of Tres Pinos, CA",1.89,-121.318833333333,36.6691666666667
ak024by7ntpx,1726493565970,"24 km NNE of Susitna North, Alaska",1.7,-149.5933,62.3457
uw62038477,1726493379410,"4 km NNE of Almira, Washington",1.32,-118.90716666666667,47.748
ak024by7mqzh,1726493263971,"4 km NNW of Seldovia Village, Alaska",1.7,-151.6804,59.5151
tx2024sgfv,1726492915602,"15 km NNW of Toyah, Texas",1.8,-103.856,31.442
ak024by7l9kb,1726492851633,"84 km WNW of Karluk, Alaska",0.9,-155.7326,57.9066
hv74464522,1726492849940,"10 km SE of Volcano, Hawaii",2.4,-155.16633605957,19.3778324127197
nc75062631,1726492461580,"2 km ENE of The Geysers, CA",1.28,-122.735336303711,38.7908325195312
ci40734887,1726492125480,"15 km SW of Searles Valley, CA",1.75,-117.51,35.6655
hv74464492,1726491823380,"10 km SSE of Volcano, Hawaii",2.02,-155.186828613281,19.3623332977295
hv74464482,1726491506570,"9 km SE of Volcano, Hawaii",1.80999994,-155.179000854492,19.3726673126221
uw62038472,1726491394510,"23 km ENE of Ashford, Washington",0.78,-121.757,46.852
uw62038467,1726490997340,"23 km ENE of Ashford, Washington",0.9400000000000001,-121.75766666666667,46.85166666666667
nn00884739,1726490583147,"25 km SSE of Mina, Nevada",1.4,-117.992,38.1762
tx2024sgeb,1726489814796,"54 km S of Whites City, New Mexico",1.7,-104.437,31.684
hv74464407,1726489599460,"10 km NE of Pāhala, Hawaii",1.99,-155.408996582031,19.2709999084473
hv74464387,1726489276620,"9 km SSW of Fern Forest, Hawaii",1.95000005,-155.162826538086,19.3848323822021
nc75062621,1726488641290,"15 km ESE of Yosemite Valley, CA",2.1,-119.417167663574,37.7070007324219
ci40734863,1726488499520,"6 km N of Malibu, CA",1.73,-118.8125,34.0611667
ak024by6vral,1726488110855,"13 km NW of Anchor Point, Alaska",1.7,-152.02,59.8519
nc75062611,1726487325250,"7 km NW of Paso Robles, CA",2.54,-120.735336303711,35.6678352355957
ci40734847,1726487127490,"13 km WNW of Anza, CA",0.46,-116.8081667,33.5903333
hv74464292,1726486993220,"9 km SSE of Volcano, Hawaii",1.73000002,-155.190994262695,19.3628330230713
nc75062606,1726486807340,"4 km WNW of Cobb, CA",1.03,-122.766670227051,38.8238334655762
ci40734839,1726486779810,"8 km SSE of Rancho Cucamonga, CA",1.03,-117.5358333,34.0665
us7000ne84,1726486594579,"265 km NE of Saipan, Northern Mariana Islands",6.3,147.1988,17.1601
nn00884728,1726486407107,"1 km E of Coleville, California",1.3,-119.4941,38.5672
ci40734831,1726486092740,"10 km ENE of Mexicali, B.C., MX",1.47,-115.3815,32.6973333
ci40734823,1726485728190,"6 km N of Malibu, CA",3.7,-118.8116667,34.0596667
nc75062591,1726485349440,"17 km SE of Yosemite Valley, CA",2.32,-119.404,37.6826666666667
hv74464237,1726484804610,"11 km SE of Volcano, Hawaii",2.65,-155.162833333333,19.3683333333333
hv74464222,1726484336050,"11 km SSW of Fern Forest, Hawaii",2.15,-155.162166666667,19.3691666666667
ak024by5xw9p,1726483432299,"30 km SSW of Tatitlek, Alaska",1.8,-146.9,60.6142
hv74464192,1726483389880,"9 km SE of Volcano, Hawaii",1.97,-155.17317199707,19.3741664886475
hv74464187,1726483140700,"10 km SE of Volcano, Hawaii",2.5,-155.1725,19.371
ci40734815,1726482366130,"18 km ENE of Borrego Springs, CA",0.89,-116.186,33.3058333
us7000ne7v,1726482219542,southeast of Easter Island,5.0,-91.0118,-41.2291
hv74464152,1726482049090,"6 km SE of Volcano, Hawaii",1.71000004,-155.188659667969,19.4020004272461
nc75062581,1726482028590,"7 km NNW of The Geysers, CA",1.07,-122.813667297363,38.8261680603027
hv74464132,1726481534800,"9 km SE of Volcano, Hawaii",1.96,-155.172668457031,19.3818340301514
hv74464122,1726481136790,"11 km S of Fern Forest, Hawaii",1.71000004,-155.129501342773,19.3626670837402
ci40734807,1726480899860,"5 km N of Malibu, CA",1.46,-118.8023333,34.0521667
ci40734799,1726480831700,"5 km N of Malibu, CA",1.49,-118.8013333,34.047
hv74464097,1726480737110,"10 km SE of Volcano, Hawaii",1.8,-155.172500610352,19.3705005645752
nc75062571,1726480203490,"8 km NNW of The Geysers, CA",1.05,-122.815498352051,38.8321647644043
hv74464082,1726480089600,"5 km SW of Volcano, Hawaii",1.79999995,-155.277160644531,19.4103336334229
hv74464077,1726479913950,"10 km SE of Volcano, Hawaii",1.79,-155.165161132812,19.3715000152588
hv74464057,1726479468490,"10 km SE of Volcano, Hawaii",1.85,-155.164672851562,19.3756675720215
ak024by59n7j,1726479037431,"107 km NW of Yakutat, Alaska",1.4,-141.1193,60.2066
pr2024260000,1726478877480,"85 km NNW of San Antonio, Puerto Rico",3.66,-67.3641,19.2221
ak024by58hrj,1726478700319,"65 km WNW of Beluga, Alaska",1.3,-152.2535,61.3125
ok2024sfxs,1726478325890,"4 km S of Union City, Oklahoma",1.23,-97.9435,35.35233333
hv74463992,1726477917400,"13 km S of Volcano, Hawaii",2.81999993,-155.25,19.3176670074463
us7000ne8q,1726477905643,"2 km W of Gladstone, New Jersey",1.6,-74.6981,40.7185
hv74463982,1726477827980,"1 km S of Pāhala, Hawaii",2.17000008,-155.47883605957,19.1938323974609
ak024by4u5n6,1726477091358,"37 km SSE of Denali National Park, Alaska",1.5,-151.3314,63.2552
hv74463922,1726476369200,"14 km S of Fern Forest, Hawaii",2.19,-155.140335083008,19.3344993591309
nc75062561,1726476224680,"1 km WNW of The Geysers, CA",0.77,-122.762664794922,38.7789993286133
ci40734791,1726475923510,"6 km WSW of Alberto Oviedo Mota, B.C., MX",2.05,-115.2265,32.2081667
hv74463902,1726475691730,"11 km SSE of Volcano, Hawaii",1.72000003,-155.205001831055,19.3414993286133
hv74463892,1726475415560,"9 km SSW of Fern Forest, Hawaii",2.02999997,-155.153503417969,19.3826675415039
hv74463877,1726474972210,"9 km SE of Volcano, Hawaii",1.76,-155.178833007812,19.3770008087158
hv74463827,1726473727140,"10 km SE of Volcano, Hawaii",1.71000004,-155.16716003418,19.3775005340576
hv74463812,1726473374090,"10 km S of Fern Forest, Hawaii",1.92,-155.150329589844,19.371166229248
tx2024sfuz,1726473298038,"57 km S of Whites City, New Mexico",2.1,-104.452,31.663
tx2024sfuu,1726472803130,"57 km S of Whites City, New Mexico",1.5,-104.46,31.658
ci40734783,1726472745610,"11 km SW of Niland, CA",1.33,-115.618,33.1816667
ak024by42ib2,1726471751828,"62 km E of Pedro Bay, Alaska",1.9,-153.0026,59.8104
ak024by42dg4,1726471728848,"13 km ENE of Silver Springs, Alaska",0.8,-145.1066,62.066
ak024by417t5,1726471389211,"20 km WNW of Beluga, Alaska",1.8,-151.4344,61.2204
hv74463747,1726471326250,"8 km SSW of Fern Forest, Hawaii",2.08,-155.156494140625,19.3943328857422
hv74463712,1726470347490,"9 km SSW of Fern Forest, Hawaii",1.83,-155.166000366211,19.382999420166
hv74463707,1726470101990,"9 km SE of Volcano, Hawaii",2.31,-155.175170898438,19.3748340606689
hv74463697,1726470080220,"10 km S of Fern Forest, Hawaii",1.21,-155.152833333333,19.3698333333333
ci40734775,1726469702540,"9 km ESE of Valle Vista, CA",0.46,-116.8121667,33.711
us7000ne75,1726469234339,"51 km WNW of San Antonio de los Cobres, Argentina",4.3,-66.814,-24.106
hv74463662,1726469233130,"8 km SSE of Volcano, Hawaii",2.4,-155.208160400391,19.3668327331543
hv74463647,1726468819600,"8 km SE of Volcano, Hawaii",1.81,-155.179992675781,19.3799991607666
hv74463627,1726468323220,"8 km SSW of Fern Forest, Hawaii",2.11,-155.156661987305,19.3915004730225
ci40734767,1726468250530,"16 km NE of Mecca, CA",0.91,-115.9666667,33.683
nc75062556,1726468161690,"3 km ESE of The Geysers, CA",0.95,-122.727333068848,38.7770004272461
hv74463612,1726467737520,"10 km SSW of Fern Forest, Hawaii",2.05,-155.158660888672,19.3745002746582
ci40734759,1726467340520,"6 km ENE of San Jacinto, CA",0.49,-116.9011667,33.8076667
hv74463562,1726466920760,"9 km S of Fern Forest, Hawaii",1.83,-155.151666666667,19.3813333333333
ak024by3c8eh,1726466812892,"40 km NW of Tatitlek, Alaska",1.4,-147.2029,61.129
nc75062546,1726466672790,"7 km NNW of The Geysers, CA",0.76,-122.807502746582,38.8230018615723
hv74463542,1726466279060,"8 km SSW of Fern Forest, Hawaii",2.12,-155.159332275391,19.3933334350586
pr71460233,1726466127720,"1 km S of Indios, Puerto Rico",2.91,-66.8201666666667,17.9786666666667
ak024by30su2,1726465998983,"70 km ESE of Denali National Park, Alaska",2.0,-150.4637,63.2582
nn00884757,1726465731124,"6 km ENE of Coleville, California",1.3,-119.4404,38.593
us7000ne6v,1726465296485,"60 km NNE of Calama, Chile",4.2,-68.7238,-21.9425
ci40734751,1726464942680,"2 km S of Calimesa, CA",1.36,-117.049,33.9658333
hv74463472,1726464694280,"9 km SE of Volcano, Hawaii",2.11,-155.177337646484,19.3780002593994
hv74463457,1726464222900,"10 km S of Fern Forest, Hawaii",1.75,-155.148330688477,19.3718338012695
nc75062536,1726463879680,"9 km WNW of Cobb, CA",0.99,-122.824996948242,38.8418350219727
hv74463432,1726463748050,"9 km SE of Volcano, Hawaii",1.76999998,-155.178161621094,19.3726673126221
ak024by2s231,1726463559819,"22 km SW of Larsen Bay, Alaska",2.1,-154.2323,57.3957
us7000ne6s,1726463538097,"139 km S of Isangel, Vanuatu",5.4,169.3861,-20.7996
tx2024sfpo,1726463445754,"36 km NNW of Toyah, Texas",2.1,-103.979,31.608
tx2024sfpl,1726463253195,"37 km NNW of Toyah, Texas",2.1,-103.979,31.61
uw62038437,1726463199490,"10 km NNE of Snoqualmie, Washington",1.05,-121.761,47.6145
hv74463392,1726462620040,"9 km SSW of Fern Forest, Hawaii",2.08,-155.162673950195,19.3850002288818
hv74463387,1726462508960,"7 km SSW of Fern Forest, Hawaii",1.72000003,-155.153503417969,19.3968334197998
hv74463382,1726462456730,"0 km E of Pāhala, Hawaii",2.04999995,-155.47200012207,19.2041664123535
se60502478,1726462421970,"7 km ESE of Pageland, South Carolina",2.2,-80.3155,34.7525
uw62038432,1726462121280,"12 km N of Packwood, Washington",0.6,-121.68066666666667,46.720166666666664
nc75062526,1726461740650,"7 km NW of The Geysers, CA",1.12,-122.825164794922,38.8063316345215
hv74463307,1726461351770,"8 km SSE of Volcano, Hawaii",1.87,-155.202667236328,19.3676662445068
us7000ne6i,1726461069309,Kuril Islands,4.7,154.2081,47.6229
ci40734727,1726460933180,"1 km SE of Muscoy, CA",1.41,-117.3351669,34.1451683
hv74463272,1726460593600,"9 km SSE of Volcano, Hawaii",1.74,-155.186340332031,19.3708324432373
nc75062521,1726460570320,"6 km WNW of Cobb, CA",1.75,-122.789001464844,38.8271675109863
hv74463267,1726460433340,"10 km SSW of Fern Forest, Hawaii",2.13,-155.163,19.3726666666667
hv74463242,1726459833980,"10 km SSW of Fern Forest, Hawaii",1.92,-155.160827636719,19.3715000152588
hv74463237,1726459804150,"3 km S of Pāhala, Hawaii",1.39,-155.477666666667,19.1716666666667
nc75062511,1726459627410,"20 km NW of Petrolia, CA",2.21,-124.491333333333,40.4133333333333
uw62038422,1726459597840,"10 km NNE of Snoqualmie, Washington",1.6,-121.7485,47.60933333333333
tx2024sfnj,1726459446942,"31 km W of Fort Stockton, Texas",1.8,-103.21,30.922
nn00884725,1726459194779,"7 km ENE of Goldfield, Nevada",0.6,-117.151,37.7282
hv74463177,1726458842510,"11 km S of Fern Forest, Hawaii",1.82000005,-155.151000976562,19.3666667938232
hv74463152,1726458561370,"10 km SSE of Volcano, Hawaii",1.80999994,-155.207336425781,19.3474998474121
us7000ne6d,1726458461470,"26 km ENE of Saipan, Northern Mariana Islands",4.6,145.9696,15.3239
hv74463117,1726457971980,"8 km S of Fern Forest, Hawaii",1.93,-155.148834228516,19.3931674957275
ak024by1qhy7,1726457836155,"7 km NW of Point MacKenzie, Alaska",1.8,-150.091,61.4069
